network,needChange,chainId,remoteChainId,contractName,functionName,args,diff,calldata
"arbitrum","true","110","","NFTEarthOFT","setUseCustomAdapterParams","[true]","{""useCustomAdapterParams"":{""oldValue"":false,""newValue"":true}}","0xeab45d9c0000000000000000000000000000000000000000000000000000000000000001"
"arbitrum","true","110","","NFTEarthOFT","setTrustedRemote","[102,""0xed1fa3155ebb4ce35da3e2f8b122717b823bdfa159d5ca4d8f4428c5aac66f7d91d115f408b847ce""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0xed1fa3155ebb4ce35da3e2f8b122717b823bdfa159d5ca4d8f4428c5aac66f7d91d115f408b847ce""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006600000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000028ed1fa3155ebb4ce35da3e2f8b122717b823bdfa159d5ca4d8f4428c5aac66f7d91d115f408b847ce000000000000000000000000000000000000000000000000"
"arbitrum","true","110","","NFTEarthOFT","setTrustedRemote","[109,""0xc6a9d92d5d39d7091a262f964285fb75aabb2a4859d5ca4d8f4428c5aac66f7d91d115f408b847ce""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0xc6a9d92d5d39d7091a262f964285fb75aabb2a4859d5ca4d8f4428c5aac66f7d91d115f408b847ce""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006d00000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000028c6a9d92d5d39d7091a262f964285fb75aabb2a4859d5ca4d8f4428c5aac66f7d91d115f408b847ce000000000000000000000000000000000000000000000000"
"arbitrum","true","110","","NFTEarthOFT","setTrustedRemote","[106,""0x2b041419a471b9adb996687b3d27fbbbf6340a4f59d5ca4d8f4428c5aac66f7d91d115f408b847ce""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x2b041419a471b9adb996687b3d27fbbbf6340a4f59d5ca4d8f4428c5aac66f7d91d115f408b847ce""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000282b041419a471b9adb996687b3d27fbbbf6340a4f59d5ca4d8f4428c5aac66f7d91d115f408b847ce000000000000000000000000000000000000000000000000"
"arbitrum","true","110","","NFTEarthOFT","setTrustedRemote","[111,""0x3134f3ff6c0daf74b32fc683b4098f9de008658959d5ca4d8f4428c5aac66f7d91d115f408b847ce""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x3134f3ff6c0daf74b32fc683b4098f9de008658959d5ca4d8f4428c5aac66f7d91d115f408b847ce""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006f000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000283134f3ff6c0daf74b32fc683b4098f9de008658959d5ca4d8f4428c5aac66f7d91d115f408b847ce000000000000000000000000000000000000000000000000"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[102,0,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000000066000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d0900"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[102,1,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000000066000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000003d0900"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[106,0,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d0900"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[106,1,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000003d0900"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[109,0,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006d000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d0900"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[109,1,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006d000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000003d0900"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[111,0,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d0900"
"arbitrum","true","110","","NFTEarthOFT","setMinDstGas","[111,1,4000000]","{""oldValue"":0,""newValue"":4000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006f000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000003d0900"
"optimism","false","111","","NFTEarthOFT","setUseCustomAdapterParams","[true]","","0xeab45d9c0000000000000000000000000000000000000000000000000000000000000001"
"optimism","false","111","","NFTEarthOFT","setTrustedRemote","[110,""0x59d5ca4d8f4428c5aac66f7d91d115f408b847ce3134f3ff6c0daf74b32fc683b4098f9de0086589""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006e0000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000002859d5ca4d8f4428c5aac66f7d91d115f408b847ce3134f3ff6c0daf74b32fc683b4098f9de0086589000000000000000000000000000000000000000000000000"
"optimism","false","111","","NFTEarthOFT","setTrustedRemote","[102,""0xed1fa3155ebb4ce35da3e2f8b122717b823bdfa13134f3ff6c0daf74b32fc683b4098f9de0086589""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006600000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000028ed1fa3155ebb4ce35da3e2f8b122717b823bdfa13134f3ff6c0daf74b32fc683b4098f9de0086589000000000000000000000000000000000000000000000000"
"optimism","false","111","","NFTEarthOFT","setTrustedRemote","[109,""0xc6a9d92d5d39d7091a262f964285fb75aabb2a483134f3ff6c0daf74b32fc683b4098f9de0086589""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006d00000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000028c6a9d92d5d39d7091a262f964285fb75aabb2a483134f3ff6c0daf74b32fc683b4098f9de0086589000000000000000000000000000000000000000000000000"
"optimism","false","111","","NFTEarthOFT","setTrustedRemote","[106,""0x2b041419a471b9adb996687b3d27fbbbf6340a4f3134f3ff6c0daf74b32fc683b4098f9de0086589""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000282b041419a471b9adb996687b3d27fbbbf6340a4f3134f3ff6c0daf74b32fc683b4098f9de0086589000000000000000000000000000000000000000000000000"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[109,0,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006d000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[109,1,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006d000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001e8480"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[110,0,4000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d0900"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[110,1,4000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006e000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000003d0900"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[106,0,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[106,1,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001e8480"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[102,0,2000000]","","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000000066000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"optimism","false","111","","NFTEarthOFT","setMinDstGas","[102,1,2000000]","","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000000066000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001e8480"
"polygon","false","109","","NFTEarthOFT","setUseCustomAdapterParams","[true]","","0xeab45d9c0000000000000000000000000000000000000000000000000000000000000001"
"polygon","false","109","","NFTEarthOFT","setTrustedRemote","[111,""0x3134f3ff6c0daf74b32fc683b4098f9de0086589c6a9d92d5d39d7091a262f964285fb75aabb2a48""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006f000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000283134f3ff6c0daf74b32fc683b4098f9de0086589c6a9d92d5d39d7091a262f964285fb75aabb2a48000000000000000000000000000000000000000000000000"
"polygon","false","109","","NFTEarthOFT","setTrustedRemote","[102,""0xed1fa3155ebb4ce35da3e2f8b122717b823bdfa1c6a9d92d5d39d7091a262f964285fb75aabb2a48""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006600000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000028ed1fa3155ebb4ce35da3e2f8b122717b823bdfa1c6a9d92d5d39d7091a262f964285fb75aabb2a48000000000000000000000000000000000000000000000000"
"polygon","false","109","","NFTEarthOFT","setTrustedRemote","[110,""0x59d5ca4d8f4428c5aac66f7d91d115f408b847cec6a9d92d5d39d7091a262f964285fb75aabb2a48""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006e0000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000002859d5ca4d8f4428c5aac66f7d91d115f408b847cec6a9d92d5d39d7091a262f964285fb75aabb2a48000000000000000000000000000000000000000000000000"
"polygon","false","109","","NFTEarthOFT","setTrustedRemote","[106,""0x2b041419a471b9adb996687b3d27fbbbf6340a4fc6a9d92d5d39d7091a262f964285fb75aabb2a48""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000282b041419a471b9adb996687b3d27fbbbf6340a4fc6a9d92d5d39d7091a262f964285fb75aabb2a48000000000000000000000000000000000000000000000000"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[106,0,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[106,1,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006a000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001e8480"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[111,0,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[111,1,2000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006f000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001e8480"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[102,0,2000000]","","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000000066000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[102,1,2000000]","","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000000066000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001e8480"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[110,0,4000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d0900"
"polygon","false","109","","NFTEarthOFT","setMinDstGas","[110,1,4000000]","","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000006e000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000003d0900"
"avalanche","false","106","","NFTEarthOFT","setUseCustomAdapterParams","[true]","","0xeab45d9c0000000000000000000000000000000000000000000000000000000000000001"
"avalanche","false","106","","NFTEarthOFT","setTrustedRemote","[102,""0xed1fa3155ebb4ce35da3e2f8b122717b823bdfa12b041419a471b9adb996687b3d27fbbbf6340a4f""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006600000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000028ed1fa3155ebb4ce35da3e2f8b122717b823bdfa12b041419a471b9adb996687b3d27fbbbf6340a4f000000000000000000000000000000000000000000000000"
"avalanche","false","106","","NFTEarthOFT","setTrustedRemote","[110,""0x59d5ca4d8f4428c5aac66f7d91d115f408b847ce2b041419a471b9adb996687b3d27fbbbf6340a4f""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006e0000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000002859d5ca4d8f4428c5aac66f7d91d115f408b847ce2b041419a471b9adb996687b3d27fbbbf6340a4f000000000000000000000000000000000000000000000000"
"avalanche","false","106","","NFTEarthOFT","setTrustedRemote","[111,""0x3134f3ff6c0daf74b32fc683b4098f9de00865892b041419a471b9adb996687b3d27fbbbf6340a4f""]","","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000006f000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000283134f3ff6c0daf74b32fc683b4098f9de00865892b041419a471b9adb996687b3d27fbbbf6340a4f000000000000000000000000000000000000000000000000"
